"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.1136,5111,"Düsseldorf, Stadt",1998
"2",0.11117,5111,"Düsseldorf, Stadt",1999
"3",0.11024,5111,"Düsseldorf, Stadt",2000
"4",0.11829,5111,"Düsseldorf, Stadt",2001
"5",0.13988,5111,"Düsseldorf, Stadt",2002
"6",0.13556,5111,"Düsseldorf, Stadt",2003
"7",0.12531,5111,"Düsseldorf, Stadt",2004
"8",0.15535,5111,"Düsseldorf, Stadt",2005
"9",0.11559,5111,"Düsseldorf, Stadt",2006
"10",0.11624,5111,"Düsseldorf, Stadt",2007
"11",0.09628,5111,"Düsseldorf, Stadt",2008
"12",0.14529,5111,"Düsseldorf, Stadt",2009
"13",0.11506,5111,"Düsseldorf, Stadt",2010
"14",0.13045,5111,"Düsseldorf, Stadt",2011
"15",0.07964,5111,"Düsseldorf, Stadt",2012
"16",0.08392,5111,"Düsseldorf, Stadt",2013
"17",0.08474,5111,"Düsseldorf, Stadt",2014
"18",0.03222,5111,"Düsseldorf, Stadt",2015
"19",0.00776,5111,"Düsseldorf, Stadt",2016
"20",0,5111,"Düsseldorf, Stadt",2017
"21",0,5111,"Düsseldorf, Stadt",2018
"22",0,5111,"Düsseldorf, Stadt",2019
"23",0.98779,5112,"Duisburg, Stadt",1998
"24",0.93096,5112,"Duisburg, Stadt",1999
"25",0.89595,5112,"Duisburg, Stadt",2000
"26",0.90249,5112,"Duisburg, Stadt",2001
"27",0.94296,5112,"Duisburg, Stadt",2002
"28",0.89573,5112,"Duisburg, Stadt",2003
"29",0.86729,5112,"Duisburg, Stadt",2004
"30",0.85433,5112,"Duisburg, Stadt",2005
"31",0.87409,5112,"Duisburg, Stadt",2006
"32",0.87407,5112,"Duisburg, Stadt",2007
"33",0.87591,5112,"Duisburg, Stadt",2008
"34",0.9017,5112,"Duisburg, Stadt",2009
"35",0.88146,5112,"Duisburg, Stadt",2010
"36",0.88491,5112,"Duisburg, Stadt",2011
"37",0.89212,5112,"Duisburg, Stadt",2012
"38",0.86275,5112,"Duisburg, Stadt",2013
"39",0.83254,5112,"Duisburg, Stadt",2014
"40",0.82755,5112,"Duisburg, Stadt",2015
"41",0.78643,5112,"Duisburg, Stadt",2016
"42",0.84673,5112,"Duisburg, Stadt",2017
"43",0.87841,5112,"Duisburg, Stadt",2018
"44",0.87279,5112,"Duisburg, Stadt",2019
"45",0.46589,5113,"Essen, Stadt",1998
"46",0.44537,5113,"Essen, Stadt",1999
"47",0.42537,5113,"Essen, Stadt",2000
"48",0.43516,5113,"Essen, Stadt",2001
"49",0.4419,5113,"Essen, Stadt",2002
"50",0.44898,5113,"Essen, Stadt",2003
"51",0.48086,5113,"Essen, Stadt",2004
"52",0.48938,5113,"Essen, Stadt",2005
"53",0.46022,5113,"Essen, Stadt",2006
"54",0.46989,5113,"Essen, Stadt",2007
"55",0.49588,5113,"Essen, Stadt",2008
"56",0.5212,5113,"Essen, Stadt",2009
"57",0.4937,5113,"Essen, Stadt",2010
"58",0.50615,5113,"Essen, Stadt",2011
"59",0.49008,5113,"Essen, Stadt",2012
"60",0.51371,5113,"Essen, Stadt",2013
"61",0.53428,5113,"Essen, Stadt",2014
"62",0.49302,5113,"Essen, Stadt",2015
"63",0.47502,5113,"Essen, Stadt",2016
"64",0.5174,5113,"Essen, Stadt",2017
"65",0.50602,5113,"Essen, Stadt",2018
