"","GISD_Score","Kennziffer Gemeindeverband","Name des Gemeindeverbands","Jahr"
"1",0.183382,"8111000","Stuttgart, Landeshauptstadt",1998
"2",0.110148,"8111000","Stuttgart, Landeshauptstadt",1999
"3",0.137,"8111000","Stuttgart, Landeshauptstadt",2000
"4",0.135243,"8111000","Stuttgart, Landeshauptstadt",2001
"5",0.151124,"8111000","Stuttgart, Landeshauptstadt",2002
"6",0.122364,"8111000","Stuttgart, Landeshauptstadt",2003
"7",0.061781,"8111000","Stuttgart, Landeshauptstadt",2004
"8",0.066503,"8111000","Stuttgart, Landeshauptstadt",2005
"9",0.085307,"8111000","Stuttgart, Landeshauptstadt",2006
"10",0.04457,"8111000","Stuttgart, Landeshauptstadt",2007
"11",0.090471,"8111000","Stuttgart, Landeshauptstadt",2008
"12",0.147855,"8111000","Stuttgart, Landeshauptstadt",2009
"13",0.139505,"8111000","Stuttgart, Landeshauptstadt",2010
"14",0.147897,"8111000","Stuttgart, Landeshauptstadt",2011
"15",0.180019,"8111000","Stuttgart, Landeshauptstadt",2012
"16",0.215756,"8111000","Stuttgart, Landeshauptstadt",2013
"17",0.178025,"8111000","Stuttgart, Landeshauptstadt",2014
"18",0.175637,"8111000","Stuttgart, Landeshauptstadt",2015
"19",0.184372,"8111000","Stuttgart, Landeshauptstadt",2016
"20",0.05035,"8111000","Stuttgart, Landeshauptstadt",2017
"21",0.079487,"8111000","Stuttgart, Landeshauptstadt",2018
"22",0.08106,"8111000","Stuttgart, Landeshauptstadt",2019
"23",0.082524,"8111000","Stuttgart, Landeshauptstadt",2020
"24",0.112404,"8115003","Böblingen, Stadt",1998
"25",0.069163,"8115003","Böblingen, Stadt",1999
"26",0.042192,"8115003","Böblingen, Stadt",2000
"27",0.035121,"8115003","Böblingen, Stadt",2001
"28",0.078949,"8115003","Böblingen, Stadt",2002
"29",0.102217,"8115003","Böblingen, Stadt",2003
"30",0.042012,"8115003","Böblingen, Stadt",2004
"31",0.046467,"8115003","Böblingen, Stadt",2005
"32",0.063963,"8115003","Böblingen, Stadt",2006
"33",0.101145,"8115003","Böblingen, Stadt",2007
"34",0.139589,"8115003","Böblingen, Stadt",2008
"35",0.203899,"8115003","Böblingen, Stadt",2009
"36",0.188951,"8115003","Böblingen, Stadt",2010
"37",0.164389,"8115003","Böblingen, Stadt",2011
"38",0.194217,"8115003","Böblingen, Stadt",2012
"39",0.223428,"8115003","Böblingen, Stadt",2013
"40",0.198121,"8115003","Böblingen, Stadt",2014
"41",0.189367,"8115003","Böblingen, Stadt",2015
"42",0.20916,"8115003","Böblingen, Stadt",2016
"43",0.154338,"8115003","Böblingen, Stadt",2017
"44",0.205646,"8115003","Böblingen, Stadt",2018
"45",0.209685,"8115003","Böblingen, Stadt",2019
"46",0.213432,"8115003","Böblingen, Stadt",2020
"47",0.048289,"8115028","Leonberg, Stadt",1998
"48",0.04442,"8115028","Leonberg, Stadt",1999
"49",0.033661,"8115028","Leonberg, Stadt",2000
"50",0.046968,"8115028","Leonberg, Stadt",2001
"51",0.105083,"8115028","Leonberg, Stadt",2002
"52",0.1158,"8115028","Leonberg, Stadt",2003
"53",0.052098,"8115028","Leonberg, Stadt",2004
"54",0.046362,"8115028","Leonberg, Stadt",2005
"55",0.049843,"8115028","Leonberg, Stadt",2006
"56",0.09027,"8115028","Leonberg, Stadt",2007
"57",0.131604,"8115028","Leonberg, Stadt",2008
"58",0.1856,"8115028","Leonberg, Stadt",2009
"59",0.180778,"8115028","Leonberg, Stadt",2010
"60",0.168757,"8115028","Leonberg, Stadt",2011
"61",0.194971,"8115028","Leonberg, Stadt",2012
"62",0.22911,"8115028","Leonberg, Stadt",2013
"63",0.20437,"8115028","Leonberg, Stadt",2014
"64",0.203763,"8115028","Leonberg, Stadt",2015
"65",0.21642,"8115028","Leonberg, Stadt",2016
"66",0.165375,"8115028","Leonberg, Stadt",2017
"67",0.214592,"8115028","Leonberg, Stadt",2018
"68",0.218567,"8115028","Leonberg, Stadt",2019
"69",0.222257,"8115028","Leonberg, Stadt",2020
"70",0.064515,"8115029","Magstadt",1998
"71",0.038663,"8115029","Magstadt",1999
"72",0.009381,"8115029","Magstadt",2000
"73",0,"8115029","Magstadt",2001
"74",0.048661,"8115029","Magstadt",2002
"75",0.07873,"8115029","Magstadt",2003
"76",0.009396,"8115029","Magstadt",2004
"77",0.015032,"8115029","Magstadt",2005
"78",0.066581,"8115029","Magstadt",2006
"79",0.090664,"8115029","Magstadt",2007
"80",0.132808,"8115029","Magstadt",2008
"81",0.193725,"8115029","Magstadt",2009
"82",0.191376,"8115029","Magstadt",2010
"83",0.181061,"8115029","Magstadt",2011
"84",0.199135,"8115029","Magstadt",2012
"85",0.227047,"8115029","Magstadt",2013
"86",0.21036,"8115029","Magstadt",2014
"87",0.203078,"8115029","Magstadt",2015
"88",0.217012,"8115029","Magstadt",2016
"89",0.173932,"8115029","Magstadt",2017
"90",0.201705,"8115029","Magstadt",2018
"91",0.20599,"8115029","Magstadt",2019
"92",0.209965,"8115029","Magstadt",2020
"93",0.05528,"8115041","Renningen, Stadt",1998
"94",0.033837,"8115041","Renningen, Stadt",1999
"95",0.022221,"8115041","Renningen, Stadt",2000
"96",0.052969,"8115041","Renningen, Stadt",2001
"97",0.091972,"8115041","Renningen, Stadt",2002
"98",0.103373,"8115041","Renningen, Stadt",2003
"99",0.039754,"8115041","Renningen, Stadt",2004
"100",0.036079,"8115041","Renningen, Stadt",2005
"101",0.031915,"8115041","Renningen, Stadt",2006
"102",0.082979,"8115041","Renningen, Stadt",2007
"103",0.116343,"8115041","Renningen, Stadt",2008
"104",0.168787,"8115041","Renningen, Stadt",2009
"105",0.172664,"8115041","Renningen, Stadt",2010
"106",0.146148,"8115041","Renningen, Stadt",2011
"107",0.176745,"8115041","Renningen, Stadt",2012
"108",0.202548,"8115041","Renningen, Stadt",2013
"109",0.18246,"8115041","Renningen, Stadt",2014
"110",0.171788,"8115041","Renningen, Stadt",2015
"111",0.200624,"8115041","Renningen, Stadt",2016
"112",0.155009,"8115041","Renningen, Stadt",2017
"113",0.197369,"8115041","Renningen, Stadt",2018
"114",0.202018,"8115041","Renningen, Stadt",2019
"115",0.206327,"8115041","Renningen, Stadt",2020
"116",0.024634,"8115042","Rutesheim, Stadt",1998
"117",0.020761,"8115042","Rutesheim, Stadt",1999
"118",0.025422,"8115042","Rutesheim, Stadt",2000
"119",0.044483,"8115042","Rutesheim, Stadt",2001
"120",0.088799,"8115042","Rutesheim, Stadt",2002
"121",0.101687,"8115042","Rutesheim, Stadt",2003
"122",0.033012,"8115042","Rutesheim, Stadt",2004
"123",0.016378,"8115042","Rutesheim, Stadt",2005
"124",0.019687,"8115042","Rutesheim, Stadt",2006
"125",0.07687,"8115042","Rutesheim, Stadt",2007
"126",0.122733,"8115042","Rutesheim, Stadt",2008
"127",0.177783,"8115042","Rutesheim, Stadt",2009
"128",0.175825,"8115042","Rutesheim, Stadt",2010
"129",0.136612,"8115042","Rutesheim, Stadt",2011
"130",0.177718,"8115042","Rutesheim, Stadt",2012
"131",0.211426,"8115042","Rutesheim, Stadt",2013
"132",0.176084,"8115042","Rutesheim, Stadt",2014
"133",0.158859,"8115042","Rutesheim, Stadt",2015
"134",0.180613,"8115042","Rutesheim, Stadt",2016
"135",0.135127,"8115042","Rutesheim, Stadt",2017
"136",0.195114,"8115042","Rutesheim, Stadt",2018
"137",0.199818,"8115042","Rutesheim, Stadt",2019
"138",0.204177,"8115042","Rutesheim, Stadt",2020
"139",0.063843,"8115044","Schönaich",1998
"140",0.03808,"8115044","Schönaich",1999
"141",0.026653,"8115044","Schönaich",2000
"142",0.032857,"8115044","Schönaich",2001
"143",0.077103,"8115044","Schönaich",2002
"144",0.0969,"8115044","Schönaich",2003
"145",0.019615,"8115044","Schönaich",2004
"146",0.004552,"8115044","Schönaich",2005
"147",0.013032,"8115044","Schönaich",2006
"148",0.062043,"8115044","Schönaich",2007
"149",0.102191,"8115044","Schönaich",2008
"150",0.165383,"8115044","Schönaich",2009
"151",0.164741,"8115044","Schönaich",2010
"152",0.166873,"8115044","Schönaich",2011
"153",0.187932,"8115044","Schönaich",2012
"154",0.223761,"8115044","Schönaich",2013
"155",0.194288,"8115044","Schönaich",2014
"156",0.184689,"8115044","Schönaich",2015
"157",0.21538,"8115044","Schönaich",2016
"158",0.166881,"8115044","Schönaich",2017
"159",0.204654,"8115044","Schönaich",2018
"160",0.208995,"8115044","Schönaich",2019
"161",0.213021,"8115044","Schönaich",2020
"162",0.129502,"8115045","Sindelfingen, Stadt",1998
"163",0.088217,"8115045","Sindelfingen, Stadt",1999
"164",0.062583,"8115045","Sindelfingen, Stadt",2000
"165",0.035739,"8115045","Sindelfingen, Stadt",2001
"166",0.080449,"8115045","Sindelfingen, Stadt",2002
"167",0.104765,"8115045","Sindelfingen, Stadt",2003
"168",0.048716,"8115045","Sindelfingen, Stadt",2004
"169",0.052743,"8115045","Sindelfingen, Stadt",2005
"170",0.097325,"8115045","Sindelfingen, Stadt",2006
"171",0.13522,"8115045","Sindelfingen, Stadt",2007
"172",0.172896,"8115045","Sindelfingen, Stadt",2008
"173",0.225053,"8115045","Sindelfingen, Stadt",2009
"174",0.21981,"8115045","Sindelfingen, Stadt",2010
"175",0.210638,"8115045","Sindelfingen, Stadt",2011
"176",0.232673,"8115045","Sindelfingen, Stadt",2012
"177",0.26936,"8115045","Sindelfingen, Stadt",2013
"178",0.240125,"8115045","Sindelfingen, Stadt",2014
"179",0.235997,"8115045","Sindelfingen, Stadt",2015
"180",0.244095,"8115045","Sindelfingen, Stadt",2016
"181",0.193497,"8115045","Sindelfingen, Stadt",2017
"182",0.228963,"8115045","Sindelfingen, Stadt",2018
"183",0.232319,"8115045","Sindelfingen, Stadt",2019
"184",0.235437,"8115045","Sindelfingen, Stadt",2020
"185",0.073628,"8115050","Weil der Stadt, Stadt",1998
"186",0.056282,"8115050","Weil der Stadt, Stadt",1999
"187",0.043435,"8115050","Weil der Stadt, Stadt",2000
"188",0.064164,"8115050","Weil der Stadt, Stadt",2001
"189",0.11758,"8115050","Weil der Stadt, Stadt",2002
"190",0.122038,"8115050","Weil der Stadt, Stadt",2003
"191",0.060463,"8115050","Weil der Stadt, Stadt",2004
"192",0.055466,"8115050","Weil der Stadt, Stadt",2005
"193",0.063969,"8115050","Weil der Stadt, Stadt",2006
"194",0.105105,"8115050","Weil der Stadt, Stadt",2007
"195",0.146026,"8115050","Weil der Stadt, Stadt",2008
"196",0.202374,"8115050","Weil der Stadt, Stadt",2009
"197",0.190477,"8115050","Weil der Stadt, Stadt",2010
"198",0.167893,"8115050","Weil der Stadt, Stadt",2011
"199",0.190727,"8115050","Weil der Stadt, Stadt",2012
"200",0.229972,"8115050","Weil der Stadt, Stadt",2013
"201",0.201075,"8115050","Weil der Stadt, Stadt",2014
"202",0.192254,"8115050","Weil der Stadt, Stadt",2015
"203",0.20991,"8115050","Weil der Stadt, Stadt",2016
"204",0.149309,"8115050","Weil der Stadt, Stadt",2017
"205",0.21156,"8115050","Weil der Stadt, Stadt",2018
"206",0.21568,"8115050","Weil der Stadt, Stadt",2019
"207",0.219501,"8115050","Weil der Stadt, Stadt",2020
"208",0.061641,"8115051","Weil im Schönbuch",1998
"209",0.038428,"8115051","Weil im Schönbuch",1999
"210",0.027452,"8115051","Weil im Schönbuch",2000
"211",0.064074,"8115051","Weil im Schönbuch",2001
"212",0.101062,"8115051","Weil im Schönbuch",2002
"213",0.106142,"8115051","Weil im Schönbuch",2003
"214",0.047198,"8115051","Weil im Schönbuch",2004
"215",0.038334,"8115051","Weil im Schönbuch",2005
"216",0.030709,"8115051","Weil im Schönbuch",2006
"217",0.081729,"8115051","Weil im Schönbuch",2007
"218",0.119462,"8115051","Weil im Schönbuch",2008
"219",0.168402,"8115051","Weil im Schönbuch",2009
"220",0.161076,"8115051","Weil im Schönbuch",2010
"221",0.148606,"8115051","Weil im Schönbuch",2011
"222",0.178403,"8115051","Weil im Schönbuch",2012
"223",0.207662,"8115051","Weil im Schönbuch",2013
"224",0.192615,"8115051","Weil im Schönbuch",2014
"225",0.180705,"8115051","Weil im Schönbuch",2015
"226",0.203499,"8115051","Weil im Schönbuch",2016
"227",0.162368,"8115051","Weil im Schönbuch",2017
"228",0.206835,"8115051","Weil im Schönbuch",2018
"229",0.211128,"8115051","Weil im Schönbuch",2019
"230",0.21511,"8115051","Weil im Schönbuch",2020
"231",0,"8115052","Weissach",1998
"232",0,"8115052","Weissach",1999
"233",0,"8115052","Weissach",2000
"234",0.008629,"8115052","Weissach",2001
"235",0.059302,"8115052","Weissach",2002
"236",0.072029,"8115052","Weissach",2003
"237",0.014568,"8115052","Weissach",2004
"238",0,"8115052","Weissach",2005
"239",0,"8115052","Weissach",2006
"240",0.045524,"8115052","Weissach",2007
"241",0.099169,"8115052","Weissach",2008
"242",0.15089,"8115052","Weissach",2009
"243",0.142405,"8115052","Weissach",2010
"244",0.1447,"8115052","Weissach",2011
"245",0.17777,"8115052","Weissach",2012
"246",0.205399,"8115052","Weissach",2013
"247",0.184993,"8115052","Weissach",2014
"248",0.169229,"8115052","Weissach",2015
"249",0.174165,"8115052","Weissach",2016
"250",0.121591,"8115052","Weissach",2017
"251",0.17935,"8115052","Weissach",2018
"252",0.184691,"8115052","Weissach",2019
"253",0.189638,"8115052","Weissach",2020
"254",0.061361,"8115901","GVV Aidlingen/Grafenau",1998
"255",0.034262,"8115901","GVV Aidlingen/Grafenau",1999
"256",0.014455,"8115901","GVV Aidlingen/Grafenau",2000
"257",0.046792,"8115901","GVV Aidlingen/Grafenau",2001
"258",0.090487,"8115901","GVV Aidlingen/Grafenau",2002
"259",0.082953,"8115901","GVV Aidlingen/Grafenau",2003
"260",0.017566,"8115901","GVV Aidlingen/Grafenau",2004
"261",0.005842,"8115901","GVV Aidlingen/Grafenau",2005
"262",0.022134,"8115901","GVV Aidlingen/Grafenau",2006
"263",0.076065,"8115901","GVV Aidlingen/Grafenau",2007
"264",0.121136,"8115901","GVV Aidlingen/Grafenau",2008
"265",0.174673,"8115901","GVV Aidlingen/Grafenau",2009
"266",0.16118,"8115901","GVV Aidlingen/Grafenau",2010
"267",0.144696,"8115901","GVV Aidlingen/Grafenau",2011
"268",0.167519,"8115901","GVV Aidlingen/Grafenau",2012
"269",0.198465,"8115901","GVV Aidlingen/Grafenau",2013
"270",0.180944,"8115901","GVV Aidlingen/Grafenau",2014
"271",0.177165,"8115901","GVV Aidlingen/Grafenau",2015
"272",0.191262,"8115901","GVV Aidlingen/Grafenau",2016
"273",0.13202,"8115901","GVV Aidlingen/Grafenau",2017
"274",0.198886,"8115901","GVV Aidlingen/Grafenau",2018
"275",0.211296,"8115901","GVV Aidlingen/Grafenau",2019
"276",0.222734,"8115901","GVV Aidlingen/Grafenau",2020
"277",0.063776,"8115902","GVV Gärtringen/Ehningen",1998
"278",0.034345,"8115902","GVV Gärtringen/Ehningen",1999
"279",0.013748,"8115902","GVV Gärtringen/Ehningen",2000
"280",0.020258,"8115902","GVV Gärtringen/Ehningen",2001
"281",0.063333,"8115902","GVV Gärtringen/Ehningen",2002
"282",0.084117,"8115902","GVV Gärtringen/Ehningen",2003
"283",0.016348,"8115902","GVV Gärtringen/Ehningen",2004
"284",0.017719,"8115902","GVV Gärtringen/Ehningen",2005
"285",0.0368,"8115902","GVV Gärtringen/Ehningen",2006
"286",0.079651,"8115902","GVV Gärtringen/Ehningen",2007
"287",0.121527,"8115902","GVV Gärtringen/Ehningen",2008
"288",0.172559,"8115902","GVV Gärtringen/Ehningen",2009
"289",0.158825,"8115902","GVV Gärtringen/Ehningen",2010
"290",0.134897,"8115902","GVV Gärtringen/Ehningen",2011
"291",0.155796,"8115902","GVV Gärtringen/Ehningen",2012
"292",0.193833,"8115902","GVV Gärtringen/Ehningen",2013
"293",0.173965,"8115902","GVV Gärtringen/Ehningen",2014
"294",0.159704,"8115902","GVV Gärtringen/Ehningen",2015
"295",0.180469,"8115902","GVV Gärtringen/Ehningen",2016
"296",0.131546,"8115902","GVV Gärtringen/Ehningen",2017
"297",0.192548,"8115902","GVV Gärtringen/Ehningen",2018
"298",0.203067,"8115902","GVV Gärtringen/Ehningen",2019
"299",0.212767,"8115902","GVV Gärtringen/Ehningen",2020
"300",0.119277,"8115903","VVG der Stadt Herrenberg",1998
"301",0.084568,"8115903","VVG der Stadt Herrenberg",1999
"302",0.056443,"8115903","VVG der Stadt Herrenberg",2000
"303",0.073442,"8115903","VVG der Stadt Herrenberg",2001
"304",0.121843,"8115903","VVG der Stadt Herrenberg",2002
"305",0.12293,"8115903","VVG der Stadt Herrenberg",2003
"306",0.058861,"8115903","VVG der Stadt Herrenberg",2004
"307",0.057695,"8115903","VVG der Stadt Herrenberg",2005
"308",0.071326,"8115903","VVG der Stadt Herrenberg",2006
"309",0.115368,"8115903","VVG der Stadt Herrenberg",2007
"310",0.155773,"8115903","VVG der Stadt Herrenberg",2008
"311",0.211095,"8115903","VVG der Stadt Herrenberg",2009
"312",0.204226,"8115903","VVG der Stadt Herrenberg",2010
"313",0.180344,"8115903","VVG der Stadt Herrenberg",2011
"314",0.203572,"8115903","VVG der Stadt Herrenberg",2012
"315",0.230782,"8115903","VVG der Stadt Herrenberg",2013
"316",0.20747,"8115903","VVG der Stadt Herrenberg",2014
"317",0.188399,"8115903","VVG der Stadt Herrenberg",2015
"318",0.207331,"8115903","VVG der Stadt Herrenberg",2016
"319",0.149507,"8115903","VVG der Stadt Herrenberg",2017
"320",0.234534,"8115903","VVG der Stadt Herrenberg",2018
"321",0.251366,"8115903","VVG der Stadt Herrenberg",2019
"322",0.266862,"8115903","VVG der Stadt Herrenberg",2020
"323",0.053581,"8115904","GVV Holzgerlingen",1998
"324",0.032465,"8115904","GVV Holzgerlingen",1999
"325",0.016797,"8115904","GVV Holzgerlingen",2000
"326",0.043876,"8115904","GVV Holzgerlingen",2001
"327",0.08669,"8115904","GVV Holzgerlingen",2002
"328",0.080554,"8115904","GVV Holzgerlingen",2003
"329",0.009438,"8115904","GVV Holzgerlingen",2004
"330",0.011623,"8115904","GVV Holzgerlingen",2005
"331",0.015531,"8115904","GVV Holzgerlingen",2006
"332",0.066203,"8115904","GVV Holzgerlingen",2007
"333",0.109271,"8115904","GVV Holzgerlingen",2008
"334",0.159688,"8115904","GVV Holzgerlingen",2009
"335",0.149129,"8115904","GVV Holzgerlingen",2010
"336",0.133339,"8115904","GVV Holzgerlingen",2011
"337",0.152591,"8115904","GVV Holzgerlingen",2012
"338",0.180408,"8115904","GVV Holzgerlingen",2013
"339",0.164458,"8115904","GVV Holzgerlingen",2014
"340",0.151813,"8115904","GVV Holzgerlingen",2015
"341",0.18097,"8115904","GVV Holzgerlingen",2016
"342",0.136133,"8115904","GVV Holzgerlingen",2017
"343",0.195243,"8115904","GVV Holzgerlingen",2018
"344",0.204599,"8115904","GVV Holzgerlingen",2019
"345",0.213231,"8115904","GVV Holzgerlingen",2020
"346",0.109994,"8115905","GVV Oberes Gäu",1998
"347",0.07853,"8115905","GVV Oberes Gäu",1999
"348",0.058055,"8115905","GVV Oberes Gäu",2000
"349",0.073452,"8115905","GVV Oberes Gäu",2001
"350",0.121631,"8115905","GVV Oberes Gäu",2002
"351",0.121299,"8115905","GVV Oberes Gäu",2003
"352",0.065079,"8115905","GVV Oberes Gäu",2004
"353",0.062696,"8115905","GVV Oberes Gäu",2005
"354",0.080436,"8115905","GVV Oberes Gäu",2006
"355",0.126687,"8115905","GVV Oberes Gäu",2007
"356",0.17121,"8115905","GVV Oberes Gäu",2008
"357",0.216254,"8115905","GVV Oberes Gäu",2009
"358",0.213944,"8115905","GVV Oberes Gäu",2010
"359",0.191,"8115905","GVV Oberes Gäu",2011
"360",0.2201,"8115905","GVV Oberes Gäu",2012
"361",0.24713,"8115905","GVV Oberes Gäu",2013
"362",0.220275,"8115905","GVV Oberes Gäu",2014
"363",0.209785,"8115905","GVV Oberes Gäu",2015
"364",0.229036,"8115905","GVV Oberes Gäu",2016
"365",0.182037,"8115905","GVV Oberes Gäu",2017
"366",0.24229,"8115905","GVV Oberes Gäu",2018
"367",0.253762,"8115905","GVV Oberes Gäu",2019
"368",0.264327,"8115905","GVV Oberes Gäu",2020
"369",0.043432,"8115906","GVV Waldenbuch/Steinenbronn",1998
"370",0.025836,"8115906","GVV Waldenbuch/Steinenbronn",1999
"371",0.018844,"8115906","GVV Waldenbuch/Steinenbronn",2000
"372",0.01958,"8115906","GVV Waldenbuch/Steinenbronn",2001
"373",0.069967,"8115906","GVV Waldenbuch/Steinenbronn",2002
"374",0.088452,"8115906","GVV Waldenbuch/Steinenbronn",2003
"375",0.025185,"8115906","GVV Waldenbuch/Steinenbronn",2004
"376",0.033181,"8115906","GVV Waldenbuch/Steinenbronn",2005
"377",0.02955,"8115906","GVV Waldenbuch/Steinenbronn",2006
"378",0.067005,"8115906","GVV Waldenbuch/Steinenbronn",2007
"379",0.110822,"8115906","GVV Waldenbuch/Steinenbronn",2008
"380",0.174088,"8115906","GVV Waldenbuch/Steinenbronn",2009
"381",0.169335,"8115906","GVV Waldenbuch/Steinenbronn",2010
"382",0.164458,"8115906","GVV Waldenbuch/Steinenbronn",2011
"383",0.185895,"8115906","GVV Waldenbuch/Steinenbronn",2012
"384",0.211847,"8115906","GVV Waldenbuch/Steinenbronn",2013
"385",0.188404,"8115906","GVV Waldenbuch/Steinenbronn",2014
"386",0.183131,"8115906","GVV Waldenbuch/Steinenbronn",2015
"387",0.208705,"8115906","GVV Waldenbuch/Steinenbronn",2016
"388",0.162712,"8115906","GVV Waldenbuch/Steinenbronn",2017
"389",0.206694,"8115906","GVV Waldenbuch/Steinenbronn",2018
"390",0.214193,"8115906","GVV Waldenbuch/Steinenbronn",2019
"391",0.221115,"8115906","GVV Waldenbuch/Steinenbronn",2020
"392",0.136668,"8116015","Denkendorf",1998
"393",0.106888,"8116015","Denkendorf",1999
"394",0.15366,"8116015","Denkendorf",2000
"395",0.118716,"8116015","Denkendorf",2001
"396",0.13294,"8116015","Denkendorf",2002
"397",0.149926,"8116015","Denkendorf",2003
"398",0.111675,"8116015","Denkendorf",2004
"399",0.103186,"8116015","Denkendorf",2005
"400",0.134961,"8116015","Denkendorf",2006
"401",0.15891,"8116015","Denkendorf",2007
"402",0.196498,"8116015","Denkendorf",2008
"403",0.255787,"8116015","Denkendorf",2009
"404",0.253488,"8116015","Denkendorf",2010
"405",0.275367,"8116015","Denkendorf",2011
"406",0.278424,"8116015","Denkendorf",2012
"407",0.314614,"8116015","Denkendorf",2013
"408",0.293438,"8116015","Denkendorf",2014
"409",0.280134,"8116015","Denkendorf",2015
"410",0.314482,"8116015","Denkendorf",2016
"411",0.238296,"8116015","Denkendorf",2017
"412",0.238487,"8116015","Denkendorf",2018
"413",0.241813,"8116015","Denkendorf",2019
"414",0.24491,"8116015","Denkendorf",2020
"415",0.200569,"8116019","Esslingen am Neckar, Stadt",1998
"416",0.163469,"8116019","Esslingen am Neckar, Stadt",1999
"417",0.209923,"8116019","Esslingen am Neckar, Stadt",2000
"418",0.194856,"8116019","Esslingen am Neckar, Stadt",2001
"419",0.21053,"8116019","Esslingen am Neckar, Stadt",2002
"420",0.220854,"8116019","Esslingen am Neckar, Stadt",2003
"421",0.187274,"8116019","Esslingen am Neckar, Stadt",2004
"422",0.183672,"8116019","Esslingen am Neckar, Stadt",2005
"423",0.219376,"8116019","Esslingen am Neckar, Stadt",2006
"424",0.22411,"8116019","Esslingen am Neckar, Stadt",2007
"425",0.258505,"8116019","Esslingen am Neckar, Stadt",2008
"426",0.319106,"8116019","Esslingen am Neckar, Stadt",2009
"427",0.317941,"8116019","Esslingen am Neckar, Stadt",2010
"428",0.337622,"8116019","Esslingen am Neckar, Stadt",2011
"429",0.337362,"8116019","Esslingen am Neckar, Stadt",2012
"430",0.367069,"8116019","Esslingen am Neckar, Stadt",2013
"431",0.354174,"8116019","Esslingen am Neckar, Stadt",2014
"432",0.336188,"8116019","Esslingen am Neckar, Stadt",2015
"433",0.361825,"8116019","Esslingen am Neckar, Stadt",2016
"434",0.286241,"8116019","Esslingen am Neckar, Stadt",2017
"435",0.313291,"8116019","Esslingen am Neckar, Stadt",2018
"436",0.313896,"8116019","Esslingen am Neckar, Stadt",2019
"437",0.314489,"8116019","Esslingen am Neckar, Stadt",2020
"438",0.092914,"8116047","Neuhausen auf den Fildern",1998
"439",0.07418,"8116047","Neuhausen auf den Fildern",1999
"440",0.131597,"8116047","Neuhausen auf den Fildern",2000
"441",0.117289,"8116047","Neuhausen auf den Fildern",2001
"442",0.127749,"8116047","Neuhausen auf den Fildern",2002
"443",0.135557,"8116047","Neuhausen auf den Fildern",2003
"444",0.086339,"8116047","Neuhausen auf den Fildern",2004
"445",0.083448,"8116047","Neuhausen auf den Fildern",2005
"446",0.100372,"8116047","Neuhausen auf den Fildern",2006
"447",0.107294,"8116047","Neuhausen auf den Fildern",2007
"448",0.155153,"8116047","Neuhausen auf den Fildern",2008
"449",0.209092,"8116047","Neuhausen auf den Fildern",2009
"450",0.211467,"8116047","Neuhausen auf den Fildern",2010
"451",0.250151,"8116047","Neuhausen auf den Fildern",2011
"452",0.238028,"8116047","Neuhausen auf den Fildern",2012
"453",0.272557,"8116047","Neuhausen auf den Fildern",2013
"454",0.266095,"8116047","Neuhausen auf den Fildern",2014
"455",0.248703,"8116047","Neuhausen auf den Fildern",2015
"456",0.272642,"8116047","Neuhausen auf den Fildern",2016
"457",0.194314,"8116047","Neuhausen auf den Fildern",2017
"458",0.215347,"8116047","Neuhausen auf den Fildern",2018
"459",0.219391,"8116047","Neuhausen auf den Fildern",2019
"460",0.223149,"8116047","Neuhausen auf den Fildern",2020
"461",0.163122,"8116072","Wernau (Neckar), Stadt",1998
"462",0.115139,"8116072","Wernau (Neckar), Stadt",1999
"463",0.168959,"8116072","Wernau (Neckar), Stadt",2000
"464",0.162471,"8116072","Wernau (Neckar), Stadt",2001
"465",0.174279,"8116072","Wernau (Neckar), Stadt",2002
"466",0.185881,"8116072","Wernau (Neckar), Stadt",2003
"467",0.134374,"8116072","Wernau (Neckar), Stadt",2004
"468",0.135263,"8116072","Wernau (Neckar), Stadt",2005
"469",0.156362,"8116072","Wernau (Neckar), Stadt",2006
"470",0.155162,"8116072","Wernau (Neckar), Stadt",2007
"471",0.196872,"8116072","Wernau (Neckar), Stadt",2008
"472",0.268948,"8116072","Wernau (Neckar), Stadt",2009
"473",0.273122,"8116072","Wernau (Neckar), Stadt",2010
"474",0.274769,"8116072","Wernau (Neckar), Stadt",2011
"475",0.273832,"8116072","Wernau (Neckar), Stadt",2012
"476",0.299184,"8116072","Wernau (Neckar), Stadt",2013
"477",0.290027,"8116072","Wernau (Neckar), Stadt",2014
"478",0.27166,"8116072","Wernau (Neckar), Stadt",2015
"479",0.30704,"8116072","Wernau (Neckar), Stadt",2016
"480",0.221869,"8116072","Wernau (Neckar), Stadt",2017
"481",0.253492,"8116072","Wernau (Neckar), Stadt",2018
"482",0.256142,"8116072","Wernau (Neckar), Stadt",2019
"483",0.258615,"8116072","Wernau (Neckar), Stadt",2020
"484",0.113691,"8116076","Aichwald",1998
"485",0.088285,"8116076","Aichwald",1999
"486",0.14668,"8116076","Aichwald",2000
"487",0.139351,"8116076","Aichwald",2001
"488",0.14681,"8116076","Aichwald",2002
"489",0.142954,"8116076","Aichwald",2003
"490",0.091316,"8116076","Aichwald",2004
"491",0.091565,"8116076","Aichwald",2005
"492",0.128563,"8116076","Aichwald",2006
"493",0.138663,"8116076","Aichwald",2007
"494",0.177504,"8116076","Aichwald",2008
"495",0.23907,"8116076","Aichwald",2009
"496",0.230869,"8116076","Aichwald",2010
"497",0.267007,"8116076","Aichwald",2011
